date,title,address,url,Date_Appended
2026-05-05,Ajua Mexican Kitchen & Bar Brings a Flavor-Driven Experience to Jacksonville Beach,"107 2nd Ave N, Jacksonville Beach, FL 32250",https://whatnow.com/jacksonville/restaurants/ajua-mexican-kitchen-bar-brings-a-flavor-driven-experience-to-jacksonville-beach/,2026-05-05
2026-05-05,Dive In Food and Spirits to Open Neighborhood Bar Downtown,"525 Meeting St. Charleston, SC 29403",https://whatnow.com/charleston/restaurants/dive-in-food-and-spirits-brings-new-neighborhood-bar-to-charleston/,2026-05-05
2026-05-05,New Restaurant Slated For Tech Ridge Center | What Now Austin,"500 W Canyon Ridge Dr, Austin, TX 78753",https://whatnow.com/austin/restaurants/new-restaurant-slated-for-tech-ridge-center/,2026-05-05
2026-05-05,Johnny’s Kitchen and Tap in Glenview Shifting to New Concept This June,"1740 Milwaukee Ave, Glenview, IL 60025",https://whatnow.com/chicago/restaurants/johnnys-kitchen-and-tap-in-glenview-shifting-to-new-concept-this-june/,2026-05-05
2026-05-05,What Now Portland Turns Breakside Brewery Into a Meeting Point for Restaurant Operators and Leaders,"1570 NW 22nd Ave, Portland, OR 97210, USA",https://whatnow.com/portland/restaurants/what-now-portland-turns-breakside-brewery-into-a-meeting-point-for-restaurant-operators-and-leaders/,2026-05-05
2026-05-05,Phil’s BBQ Planning First Arizona Location in Chandler,"3440 W Chandler Blvd, Chandler, AZ 85226",https://whatnow.com/phoenix/restaurants/phils-bbq-planning-first-arizona-location-in-chandler/,2026-05-05
2026-05-05,"Eldorado Cafe Expanding, Planning Renovations | What Now Austin","3300 W Anderson Ln. #303, Austin, TX 78757",https://whatnow.com/austin/restaurants/eldorado-cafe-expanding-planning-renovations/,2026-05-05
2026-05-05,Jacksonville Restaurateurs and Industry Leaders Connect at What Now Media Group’s Accelerate Event,"107 2nd Ave N, Jacksonville Beach, FL 32250",https://whatnow.com/jacksonville/restaurants/jacksonville-restaurateurs-and-industry-leaders-connect-at-what-now-media-groups-accelerate-event/,2026-05-05
2026-05-05,16 Handles Slated To Join San Fernando Valley Amid Entry Into California | What Now Los Angeles,,https://whatnow.com/los-angeles/restaurants/16-handles-slated-to-join-san-fernando-valley-amid-entry-into-california/,2026-05-05
2026-05-05,Good BBQ Company Expanding To Hudson Bend | What Now Austin,"3519 Ranch Rd 620 N, Austin, TX 78734",https://whatnow.com/austin/restaurants/good-bbq-company-expanding-to-hudson-bend/,2026-05-05
